restaurant_url,Label 1,Label 2,Label 3,Label 4,Label 5
https://www.yelp.com/biz/gumbo-house-anchorage,Cajun/Creole,,,,
https://www.yelp.com/biz/crows-nest-anchorage,French,New American,Wine Bars,,
https://www.yelp.com/biz/tequila-61-anchorage-2,Mexican,Gastropubs,Tapas/Small Plates,,
https://www.yelp.com/biz/kriners-diner-anchorage,Diners,,,,
https://www.yelp.com/biz/hula-hands-restaurant-anchorage-2,Hawaiian,Poke,,,
https://www.yelp.com/biz/the-hott-spot-anchorage-2,Seafood,Hot Pot,Asian Fusion,,
https://www.yelp.com/biz/everest-restaurant-anchorage,Halal,Indian,Himalayan/Nepalese,,
https://www.yelp.com/biz/ramen-house-anchorage,Ramen,,,,
https://www.yelp.com/biz/yogo-delight-anchorage,Bubble Tea,Juice Bars & Smoothies,Soup,,
https://www.yelp.com/biz/originale-anchorage,,,,,
https://www.yelp.com/biz/jens-restaurant-anchorage,New American,,,,
https://www.yelp.com/biz/the-white-spot-cafe-anchorage,American,Breakfast & Brunch,Cafes,,
https://www.yelp.com/biz/kriners-burgers-and-pies-anchorage,American,Burgers,,,
https://www.yelp.com/biz/tent-city-taphouse-anchorage,American,Beer Bar,,,
https://www.yelp.com/biz/serranos-mexican-grill-anchorage,Mexican,,,,
https://www.yelp.com/biz/waffle-rush-anchorage-4,Breakfast & Brunch,Desserts,Waffles,,
https://www.yelp.com/biz/queen-of-sheba-ethiopian-restaurant-anchorage,,,,,
https://www.yelp.com/biz/crush-wine-bistro-and-cellar-anchorage-2,New American,Wine Bars,Cocktail Bars,,
https://www.yelp.com/biz/lucky-wishbone-anchorage,,,,,
https://www.yelp.com/biz/el-dorado-anchorage,Mexican,,,,
https://www.yelp.com/biz/bear-tooth-theatre-pub-anchorage,Bars,Dinner Theater,,,
https://www.yelp.com/biz/sorrentos-restaurant-anchorage,Italian,,,,
https://www.yelp.com/biz/bread-and-brew-alaska-anchorage,Bars,American,Pizza,,
https://www.yelp.com/biz/black-cup-anchorage-2,Coffee & Tea,Cafes,,,
https://www.yelp.com/biz/kinleys-restaurant-and-bar-anchorage,,,,,
https://www.yelp.com/biz/alaska-crepery-anchorage-2,Creperies,Coffee & Tea,Breakfast & Brunch,,
https://www.yelp.com/biz/namaste-shangri-la-anchorage,Himalayan/Nepalese,Indian,,,
https://www.yelp.com/biz/mvp-sports-deli-and-eatery-anchorage,,,,,
https://www.yelp.com/biz/xalos-mexican-grill-anchorage,,,,,
https://www.yelp.com/biz/simon-and-seaforts-saloon-and-grill-anchorage-2,Seafood,Steakhouses,American,,
https://www.yelp.com/biz/fire-island-rustic-bakeshop-anchorage-2,Bakeries,Desserts,Cupcakes,,
https://www.yelp.com/biz/west-berlin-anchorage,German,,,,
https://www.yelp.com/biz/saverios-pizzeria-anchorage-2,Italian,Pizza,,,
https://www.yelp.com/biz/biscuitclub-anchorage,Coffee & Tea,Breakfast & Brunch,New American,,
https://www.yelp.com/biz/fire-island-rustic-bakeshop-anchorage,Bakeries,Desserts,Sandwiches,,
https://www.yelp.com/biz/spenard-roadhouse-anchorage,New American,Cocktail Bars,Breakfast & Brunch,,
https://www.yelp.com/biz/humpys-great-alaskan-alehouse-anchorage,Beer Bar,Seafood,Chicken Wings,,
https://www.yelp.com/biz/turkish-delight-anchorage,Turkish,,,,
https://www.yelp.com/biz/snow-city-cafe-anchorage,Breakfast & Brunch,New American,Cafes,,
https://www.yelp.com/biz/49th-state-brewing-anchorage-anchorage,,,,,
https://www.yelp.com/biz/glacier-brewhouse-anchorage,,,,,
https://www.yelp.com/biz/mooses-tooth-anchorage,Pizza,American,Beer Bar,,
https://www.yelp.com/biz/international-house-of-hot-dogs-and-goodies-anchorage,Hot Dogs,Breakfast & Brunch,Hawaiian,,
https://www.yelp.com/biz/altura-bistro-anchorage-2,,,,,
https://www.yelp.com/biz/the-kobuk-anchorage,Coffee & Tea,Bakeries,Gift Shops,,
https://www.yelp.com/biz/mekong-pho-anchorage,Thai,Laotian,Asian Fusion,,
https://www.yelp.com/biz/arctic-roadrunner-anchorage-2,,,,,
https://www.yelp.com/biz/sweet-caribou-anchorage,Desserts,Macarons,Salad,,
https://www.yelp.com/biz/whisky-and-ramen-anchorage,Ramen,Whiskey Bars,,,
https://www.yelp.com/biz/china-town-restaurant-anchorage,Chinese,Seafood,Soup,,
https://www.yelp.com/biz/aurora-chocolate-hotel-captain-cook-anchorage,Chocolatiers & Shops,Desserts,,,
https://www.yelp.com/biz/thai-kitchen-anchorage,Thai,,,,
https://www.yelp.com/biz/thai-orchid-anchorage-2,,,,,
https://www.yelp.com/biz/jackies-place-restaurant-anchorage,,,,,
https://www.yelp.com/biz/kaladi-brothers-coffee-anchorage-2,Coffee & Tea,,,,
https://www.yelp.com/biz/pizza-olympia-anchorage,,,,,
https://www.yelp.com/biz/taste-of-india-anchorage,Seafood,Indian,,,
https://www.yelp.com/biz/bernies-bungalow-lounge-anchorage,Lounges,Thai,,,
https://www.yelp.com/biz/burrito-heaven-anchorage,Mexican,,,,
https://www.yelp.com/biz/yama-sushi-anchorage,Japanese,Sushi Bars,Asian Fusion,,
https://www.yelp.com/biz/panchos-villa-anchorage,,,,,
https://www.yelp.com/biz/that-feeling-co-anchorage,Coffee & Tea,Home Decor,,,
https://www.yelp.com/biz/oriental-garden-anchorage,,,,,
https://www.yelp.com/biz/josie-s-bakery-anchorage,,,,,
https://www.yelp.com/biz/home-town-restaurant-anchorage,Korean,Barbeque,Seafood,,
https://www.yelp.com/biz/bennys-food-wagon-anchorage,Mexican,Food Trucks,,,
https://www.yelp.com/biz/muse-anchorage,New American,Seafood,,,
https://www.yelp.com/biz/907-wingman-anchorage,Chicken Wings,Burgers,Juice Bars & Smoothies,,
https://www.yelp.com/biz/hong-kong-spirit-food-anchorage-3,Dim Sum,,,,
https://www.yelp.com/biz/vip-restaurant-anchorage,Korean,Chinese,,,
https://www.yelp.com/biz/ronnie-2-anchorage,Japanese,Sushi Bars,,,
https://www.yelp.com/biz/peters-sushi-spot-anchorage-3,,,,,
https://www.yelp.com/biz/kumagoro-anchorage,Japanese,,,,
https://www.yelp.com/biz/leroys-family-restaurant-anchorage,,,,,
https://www.yelp.com/biz/samurai-sushi-garden-anchorage,,,,,
https://www.yelp.com/biz/cafe-amsterdam-anchorage,Breakfast & Brunch,Belgian,Sandwiches,,
https://www.yelp.com/biz/ichiban-japanese-restaurant-anchorage,Japanese,,,,
https://www.yelp.com/biz/the-bear-paw-bar-and-grill-anchorage-2,,,,,
https://www.yelp.com/biz/amores-pizza-anchorage-2,,,,,
https://www.yelp.com/biz/yak-and-yeti-anchorage-3,Himalayan/Nepalese,Cafes,,,
https://www.yelp.com/biz/steamdot-anchorage,,,,,
